fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,04,ASSAM,0423,CACHAR,1282517,248.189275495997,24,22,34.47504676,13180,0,40940,457513,50338,14206,7555,3340,0,1169.97324676,18967,20253,158928,205950,0,368763,451662,54120,1135.4982,197584,94,16.38,2.13,100.04,NA
2024-2025,Aug,04,ASSAM,0424,BAKSA,991450,249.383932108602,27,71,206.785017438,8440,0,30591,1125798,50686,7893,552199,76853,0,3014.344337438,40744,48565,99233,174882,6,173353,284623,39031,2807.55932,735533,95,30.57,0.63,100.05,NA
2024-2025,Aug,04,ASSAM,0425,CHIRANG,914541,252.023931386529,30,20,801.88092277,13706,0,19174,457228,27738,12407,265813,84965,0,1954.20490377,14781,20088,84185,186836,4,139762,291395,32880,1152.323981,260883,94,11.37,1,99.98,NA
2024-2025,Aug,04,ASSAM,0426,KAMRUP (METRO),239230,246.06735069021,35,0,34.556899644,1503,0,3766,113154,29434,7432,27912,9931,0,312.991949644,3168,3909,15841,33415,1,51319,95389,5269,278.43505,68465,93,18.92,1.55,100.03,NA
2024-2025,Aug,04,ASSAM,0430,CHARAIDEO,476869,252.32779878804,20,26,128.229824931,829,0,1904,180864,1556,1191,3662,1898,0,584.599974931,8746,10651,41742,70056,37,83575,128316,2733,456.37015,102775,58,73.24,7.57,99.98,NA
2024-2025,Aug,04,ASSAM,0401,DHUBRI,864998,249.470737296352,21,58,602.944369376,8310,1,18918,1038619,10072,2871,837,315,0,3193.994846376,48985,67429,203371,379668,10,383351,666252,27228,2591.050477,515416,83,25.97,26.26,100.27,NA
2024-2025,Aug,04,ASSAM,0403,BONGAIGAON,364756,265.764917146066,20,11,382.888245371,8011,0,15859,261786,25654,10681,3179,2231,0,1078.623591371,12475,17426,84146,176002,3,157192,315583,23870,695.735346,126687,93,29.34,3.8,99.92,NA
2024-2025,Aug,04,ASSAM,0410,LAKHIMPUR,1480350,246.270337609971,22,38,452.056979967,7198,0,30332,818400,50901,17455,258085,85422,0,2467.533422967,35690,53837,149167,341462,17,244459,502815,37530,2015.476443,435604,92,48.9,5.85,99.96,NA
2024-2025,Aug,04,ASSAM,0413,NAGAON,1536596,250.533554018985,22,179,567.940793916,11820,0,23625,1612248,104479,18268,49178,11584,0,4607.163007916,70924,95816,217067,355681,39,382536,563837,35445,4039.222214,843693,89,30.97,19.17,99.99,NA
2024-2025,Aug,04,ASSAM,0414,GOLAGHAT,1464732,246.745645318658,24,57,674.062650487001,12579,0,17086,697973,51240,14969,127378,34366,0,2396.280633487,28810,38127,135559,271518,91,221350,413002,29665,1722.217983,374624,92,20.16,22.92,99.96,NA
2024-2025,Aug,04,ASSAM,0425,CHIRANG,914541,246.412972322857,31,20,801.88092277,13855,0,19198,476422,28669,12423,275484,84981,0,1975.84653377,15274,20777,84237,186984,4,139569,291065,33053,1173.965611,271795,94,11.59,1.13,99.98,NA
2024-2025,Aug,04,ASSAM,0430,CHARAIDEO,476869,251.47643668787,20,27,128.229824931,837,0,1898,183930,1567,1191,3716,1898,0,590.770434931,8808,10745,41750,70073,42,83579,128327,2735,462.54061,104394,58,73.19,7.49,99.98,NA
2024-2025,Aug,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,361439,247.656456807846,18,24,472.148524307,3393,0,28200,331588,6371,1007,914,687,0,1293.347616307,17656,19765,77061,99364,0,139141,170337,31593,821.199092,156883,97,6.99,0.43,99.34,NA
2024-2025,Aug,04,ASSAM,0432,MAJULI,304410,248.092366281503,24,19,36.568519,2433,0,7247,315364,37500,5815,151676,24033,0,818.962529,12796,18924,28966,50049,9,34658,57246,9680,782.39401,150338,94,26.91,9.13,99.93,NA
2024-2025,Aug,04,ASSAM,0433,BAJALI,187509,245.515958352433,25,25,87.964920146,5760,0,3954,229065,5467,2366,3952,2141,0,650.356050146,8817,12748,42496,92290,2,67438,131929,9714,562.39113,119837,92,31.21,0.57,99.73,NA
2024-2025,Aug,04,ASSAM,0404,GOALPARA,758621,248.768840979155,25,35,136.730765382,12976,0,14684,734715,18098,7342,135805,50512,0,1964.472755382,29377,41158,112574,236465,6,221704,407548,27660,1827.74199,377841,93,67.64,2.52,99.91,NA
2024-2025,Aug,04,ASSAM,0406,NALBARI,910469,251.322161420273,21,24,157.780634997,12958,0,15108,617853,24431,7122,18040,4325,0,1710.582148997,28984,40936,114518,201182,18,177755,292571,28066,1552.801514,323546,89,34.71,15.05,100.04,NA
2024-2025,Aug,04,ASSAM,0410,LAKHIMPUR,1480350,248.028374798594,22,37,452.056979967,6903,0,30483,788210,46829,17372,248245,85362,0,2407.041432967,35066,52813,149065,341223,13,244417,502665,37386,1954.984453,420096,92,49.19,5.94,99.96,NA
2024-2025,Aug,04,ASSAM,0413,NAGAON,1536596,251.119433192584,22,178,566.346693316,11669,0,23693,1536536,99360,18328,45831,11651,0,4424.887187316,69263,93531,217307,356392,30,382818,564682,35362,3858.540494,802379,89,31.06,19.22,99.97,NA
2024-2025,Aug,04,ASSAM,0422,HAILAKANDI,1182565,260.298503239022,21,69,427.428153772,6090,0,15258,947045,66673,15238,7214,2393,0,2892.572113772,45018,58710,119734,209686,4,169207,270996,21348,2465.14396,364810,88,63.79,4.28,99.91,NA
2024-2025,Aug,04,ASSAM,0424,BAKSA,991450,248.257935189612,27,69,206.785017438,8264,0,30708,1110717,49907,7891,546273,76826,0,2964.228107438,40453,48152,99183,174790,4,173330,284554,38972,2757.44309,726190,95,29.98,0.65,100.04,NA
2024-2025,Aug,04,ASSAM,0426,KAMRUP (METRO),239230,246.867611364934,35,0,34.556899644,1436,0,3830,112064,29258,7433,27577,9929,0,311.206619644,3145,3880,15842,33420,1,51326,95402,5266,276.64972,67781,93,19.01,1.56,100.03,NA
2024-2025,Aug,04,ASSAM,0427,UDALGURI,1615269,248.005680380333,29,38,750.81204245,16768,0,34046,1511096,64793,11952,706346,110334,0,4498.41595845,51575,67743,142475,271789,46,233506,413163,50814,3747.603916,905348,94,35.31,11.82,99.98,NA
2024-2025,Aug,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,361439,242.122350283195,18,22,428.772580307,3393,0,28143,318685,5895,1004,866,686,0,1200.380192307,17304,19368,77004,99243,0,139057,170145,31536,771.607612,151907,97,7.1,0.44,99.3,NA
2024-2025,Sep,04,ASSAM,0401,DHUBRI,1340370,251.950996358124,22,59,602.944369376,9422,1,18053,1129363,11397,2859,1041,322,0,3448.385700376,51225,70728,203158,378651,14,383011,664851,27475,2845.441331,560050,83,24.75,26.31,100.3,NA
2024-2025,Sep,04,ASSAM,0407,KAMRUP,2119994,252.250386483162,29,48,172.567205059,7754,0,24592,1355169,103054,22217,162888,42409,0,3590.986245059,45928,61659,164780,323233,117,361887,654623,32346,3418.41904,714018,92,32.51,28.25,100.01,NA
2024-2025,Sep,04,ASSAM,0411,DHEMAJI,2580503,249.425123172988,29,164,957.24135687,20310,0,29281,1919049,100544,15200,985376,133241,0,5743.83168887,65461,99367,127565,295264,104,195174,413812,49591,4786.590332,1134274,92,54.28,1.21,100.07,NA
2024-2025,Sep,04,ASSAM,0413,NAGAON,2375005,249.716739393647,24,187,584.492468616,12891,0,22900,1826924,115694,18280,56473,11653,0,5146.627512616,75549,102377,217809,356528,81,382463,563529,35791,4562.135044,956184,89,30.5,19.68,99.99,NA
2024-2025,Sep,04,ASSAM,0414,GOLAGHAT,2173997,247.674806046909,25,63,684.531862887001,13717,0,16004,754435,55579,14953,139243,34416,0,2553.077285887,30002,39716,135679,271050,116,221376,412314,29721,1868.545423,404557,92,20.01,22.23,100.01,NA
2024-2025,Sep,04,ASSAM,0418,TINSUKIA,1667826,257.48331026219,19,19,120.368263327,4185,0,9410,413937,7346,2745,43874,16666,0,1186.186953327,21200,25601,106134,170624,3,205800,291957,13595,1065.81869,248502,80,58.46,5.58,100.09,NA
2024-2025,Sep,04,ASSAM,0414,GOLAGHAT,2173997,247.687551496448,25,62,684.531862887001,13627,0,16089,749809,55357,14954,138727,34410,0,2541.715415887,29922,39605,135680,271237,116,221377,412534,29716,1857.183553,402091,92,20.07,22.27,100.01,NA
2024-2025,Sep,04,ASSAM,0416,SIVASAGAR,1809240,250.910987229869,23,87,193.525482131,4340,0,8668,748387,40542,8493,106241,13877,0,2071.310692131,32401,44750,83307,162190,49,125734,224089,13008,1877.78521,410143,80,44.91,18.96,99.96,NA
2024-2025,Sep,04,ASSAM,0417,DIBRUGARH,2033812,251.16547868734,19,58,524.158268491001,5329,0,8276,694681,31991,7686,74488,25553,0,2268.957127491,36260,46060,128843,229673,77,207022,333385,13605,1744.798859,422415,76,56.58,6.92,99.91,NA
2024-2025,Sep,04,ASSAM,0421,KARIMGANJ,2254418,245.226138028285,20,27,463.741053135999,14671,0,27828,730430,117580,23185,10265,1771,0,2254.946333136,34870,40715,136223,182296,49,225386,282634,42499,1791.20528,338020,96,58.36,3.76,99.97,NA
2024-2025,Sep,04,ASSAM,0426,KAMRUP (METRO),384049,252.207379001332,34,0,34.556899644,1783,0,3615,123865,32574,7464,30684,9963,0,346.953569644,3555,4328,15966,33539,2,51323,95292,5398,312.39667,74934,93,20.65,1.45,101.74,NA
2024-2025,Sep,04,ASSAM,0427,UDALGURI,2679440,248.335472900425,31,39,750.81204245,19431,0,31821,1713680,72443,11988,795491,110634,0,5006.48737445,54251,71561,143017,272729,97,234328,414383,51252,4255.675332,1028019,94,34.86,11.57,100.02,NA
2024-2025,Sep,04,ASSAM,0429,HOJAI,1086013,252.404968796126,23,274,236.071020585,3768,0,20822,579255,94270,20585,27129,5451,0,1698.139422585,24389,32100,89741,155520,4,159330,252998,24590,1462.068402,306348,93,28.77,4.53,99.9,NA
2024-2025,Sep,04,ASSAM,0410,LAKHIMPUR,2271344,248.805405081099,23,41,453.273847167,8649,0,29212,875047,53936,17446,276196,85309,0,2630.438080167,36769,55653,148936,340571,28,243669,501117,37861,2177.164233,464909,92,48.07,5.67,99.96,NA
2024-2025,Sep,04,ASSAM,0421,KARIMGANJ,2254418,243.910760638012,20,26,463.741053135999,14671,0,27815,726193,117025,23185,10169,1771,0,2235.003923136,34698,40528,136215,182277,49,225628,282885,42486,1771.26287,336347,96,58.42,3.77,99.97,NA
2024-2025,Sep,04,ASSAM,0401,DHUBRI,1340370,251.957648605494,21,58,602.944369376,9185,1,18246,1109784,11027,2849,975,322,0,3399.130040376,50686,69929,203039,378523,12,382951,664870,27431,2796.185671,550684,83,25.07,26.18,100.27,NA
2024-2025,Sep,04,ASSAM,0413,NAGAON,2375005,250.825495185243,23,186,571.263834916,12318,0,23402,1752425,112916,18279,53863,11612,0,4966.792518916,74050,100206,217533,356084,59,382583,563658,35720,4395.528684,916993,89,30.22,19.69,99.99,NA
2024-2025,Sep,04,ASSAM,0424,BAKSA,1676001,248.644601584755,29,74,206.785017438,9333,0,30106,1259879,58171,7948,616619,77322,0,3339.406137438,42747,51272,99676,175732,10,173268,284686,39439,3132.62112,823145,95,30.36,0.64,100.06,NA
2024-2025,Sep,04,ASSAM,0426,KAMRUP (METRO),384049,250.214372874738,35,0,34.556899644,1731,0,3660,122926,32328,7459,30286,9957,0,342.135419644,3455,4227,15952,33516,2,51320,95294,5391,307.57852,74188,93,20.49,1.46,101.77,NA
2024-2025,Sep,04,ASSAM,0427,UDALGURI,2679440,248.693146768335,31,39,750.81204245,19144,0,32068,1688634,71927,11985,782775,110615,0,4950.32907445,53939,71138,142951,272610,78,234221,414203,51212,4199.517032,1012771,94,34.82,11.45,100.01,NA
2024-2025,Sep,04,ASSAM,0409,SONITPUR,2272130,247.879084362325,21,37,476.232265156999,7124,0,17374,947449,26323,6379,46731,9957,0,2824.760171157,43233,48456,134715,180211,6,245795,308863,24498,2348.527906,566402,91,48.55,14.18,100.21,NA
2024-2025,Sep,04,ASSAM,0410,LAKHIMPUR,2271344,250.330385663019,23,40,453.273847167,8465,0,29298,857977,53005,17469,271373,85455,0,2601.050980167,36344,54968,149208,341442,27,244404,502650,37763,2147.777133,455817,92,48.26,5.69,99.96,NA
2024-2025,Sep,04,ASSAM,0411,DHEMAJI,2580503,247.947141505572,28,157,952.27851628,20129,0,29292,1829617,96805,15174,934984,133102,0,5488.76156828,64355,97580,127338,295006,87,195014,413673,49421,4536.483052,1080524,92,53.88,1.2,100.05,NA
2024-2025,Sep,04,ASSAM,0413,NAGAON,2375005,252.286084377163,23,183,571.263834916,12206,0,23395,1720347,109895,18262,52322,11607,0,4911.459918916,73179,98942,217358,355803,55,382536,563527,35601,4340.196084,901258,89,30.24,19.7,99.99,NA
2024-2025,Sep,04,ASSAM,0415,JORHAT,1855290,251.599454626691,21,32,110.439841453,3030,0,7018,651297,43857,8005,77262,10399,0,1749.099541453,30336,34049,86112,130909,67,169409,236562,10048,1638.6597,413653,78,57.04,11.03,100.06,NA
2024-2025,Sep,04,ASSAM,0421,KARIMGANJ,2254418,243.695969093748,20,24,463.741053135999,14524,0,27927,695005,111101,23164,9859,1770,0,2157.440223136,33737,39312,136108,182147,28,225730,282975,42451,1693.69917,320878,96,58.04,3.61,99.92,NA
2024-2025,Sep,04,ASSAM,0425,CHIRANG,1453130,251.631884149746,31,21,801.88092277,14161,0,19290,521121,32185,12450,296073,84736,0,2113.18751377,16287,22250,84299,186884,4,139349,290375,33451,1311.306591,297414,94,12.1,1.2,100.04,NA
2024-2025,Sep,04,ASSAM,0429,HOJAI,1086013,252.336614582965,23,271,234.377073685,3609,0,20963,564988,91195,20568,26921,5448,0,1660.048665685,24299,31954,89711,155433,4,159245,252815,24572,1425.671592,298728,93,28.04,4.05,99.9,NA
2024-2025,Sep,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,556771,236.876830673566,19,27,515.012366507,3393,0,28351,367952,6881,1009,1148,697,0,1386.605402507,19080,21321,77206,99464,0,139260,170387,31744,871.593036,174186,97,7.43,0.47,99.38,NA
2024-2025,Sep,04,ASSAM,0435,TAMULPUR,1144033,240.549183957674,21,3,296.68026506,5145,0,21527,343242,43569,16699,158956,51582,0,1122.34609506,16195,21032,62210,127191,1,123546,218681,26672,825.66583,203584,94,38.11,1.92,100.75,NA
2024-2025,Sep,04,ASSAM,0401,DHUBRI,1340370,252.865226325491,21,58,602.944369376,9146,1,18258,1101290,10886,2849,931,320,0,3387.723820376,50575,69760,203014,378679,12,382944,665063,27404,2784.779451,546459,83,25.18,26.13,100.27,NA
2024-2025,Sep,04,ASSAM,0413,NAGAON,2375005,251.99649188829,23,183,571.263834916,12233,0,23443,1737858,112648,18273,53736,11610,0,4950.605028916,73658,99640,217480,355986,58,382554,563593,35676,4379.341194,909835,89,30.14,19.68,99.99,NA
2024-2025,Sep,04,ASSAM,0416,SIVASAGAR,1809240,251.782821052632,22,87,193.525482131,4328,0,8622,724375,38974,8467,104433,13876,0,2017.377292131,31895,44030,83168,161975,40,125691,224038,12950,1823.85181,397614,80,44.52,19.06,99.96,NA
2024-2025,Sep,04,ASSAM,0418,TINSUKIA,1667826,259.966451710165,19,17,120.368263327,4081,0,9490,384729,6810,2756,41551,16728,0,1120.534593327,19969,24101,107366,173043,3,209254,296852,13571,1000.16633,230721,80,58.19,5.69,100.09,NA
2024-2025,Sep,04,ASSAM,0426,KAMRUP (METRO),384049,252.603919406081,35,0,34.556899644,1680,0,3701,121498,32044,7461,29962,9963,0,341.465609644,3392,4162,15942,33531,2,51319,95320,5381,306.90871,73421,93,20.57,1.47,101.78,NA
2024-2025,Sep,04,ASSAM,0429,HOJAI,1086013,252.639855491126,23,274,234.377073685,3748,0,20824,567716,91840,20572,26977,5449,0,1668.653955685,24315,31978,89712,155462,4,159303,252937,24572,1434.276882,300491,93,28.29,4.16,99.9,NA
2024-2025,Sep,04,ASSAM,0433,BAJALI,365791,248.461131750712,26,27,87.964920146,6065,0,3665,234716,5704,2365,4218,2139,0,671.142950146,8895,12861,42503,92011,2,67441,131610,9730,583.17803,122771,92,30.71,0.55,99.74,NA
2024-2025,July,04,ASSAM,0401,DHUBRI,747535,255.322299755898,18,53,558.875178994,5919,1,20859,811547,6608,2862,741,317,0,2630.935642994,42829,57988,204371,385596,1,385215,675227,26778,2072.060464,399605,83,27.49,25.58,100.23,NA
2024-2025,July,04,ASSAM,0406,NALBARI,785013,251.218271939154,19,21,0,9734,0,18116,465435,18016,7117,14227,4312,0,1169.257764,23344,32928,114192,201440,8,178690,294668,27850,1169.257764,243556,89,33.14,16.03,100.08,NA
2024-2025,July,04,ASSAM,0407,KAMRUP,1183240,253.31714806682,23,39,108.460629743,5218,0,25906,923556,69166,22054,102673,42595,0,2447.986349743,38694,51193,163746,323525,35,362033,657071,31124,2339.52572,483072,92,34.75,31.69,99.91,NA
2024-2025,July,04,ASSAM,0411,DHEMAJI,1283136,248.250663102385,24,124,686.273799437,13450,0,34632,1355673,73344,15079,662995,134991,0,4051.741011437,56454,84972,127289,297412,15,195497,416934,48082,3365.467212,799057,92,54.4,1.5,99.82,NA
2024-2025,July,04,ASSAM,0413,NAGAON,1324778,252.774644342397,19,148,237.707094269,10192,0,24400,1218166,76803,18467,35370,11985,0,3316.921868269,61806,83382,218963,359827,15,385878,570115,34592,3079.214774,636110,89,31.38,19.49,99.96,NA
2024-2025,July,04,ASSAM,0418,TINSUKIA,1002104,258.98718990538,16,16,101.491883284,2664,0,10581,286727,4410,2902,31003,17017,0,844.078083284,17391,20897,112225,182166,1,220036,312742,13245,742.5862,172975,80,55.84,6.18,99.97,NA
2024-2025,July,04,ASSAM,0422,HAILAKANDI,1019222,282.594350416448,19,56,420.759082142,4586,0,16228,700087,50678,15256,3839,2308,0,2399.165392142,35951,46303,118885,209069,2,168916,271075,20814,1978.40631,268912,88,63.65,3.63,99.94,NA
2024-2025,July,04,ASSAM,0401,DHUBRI,747535,255.104803861649,18,52,396.108944644,5160,1,21550,801730,6398,2867,705,317,0,2441.360688644,42499,57515,204524,387249,1,385388,677566,26710,2045.251744,394434,83,27.72,25.87,100.22,NA
2024-2025,July,04,ASSAM,0411,DHEMAJI,1283136,250.967329261154,23,119,439.435364907,13195,0,34785,1329018,72485,15082,647831,135002,0,3774.836344907,55953,84231,127283,297509,14,195571,417167,47980,3335.40098,783343,92,54.72,1.53,99.81,NA
2024-2025,July,04,ASSAM,0424,BAKSA,834795,247.510847774116,24,56,206.785017438,6252,0,31705,901844,39022,7891,446888,76316,0,2438.946747438,36490,42957,99155,175782,1,180858,296127,37957,2232.16173,594200,95,30.17,0.51,99.95,NA
2024-2025,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,312100,241.378985363632,16,14,80.2526217,392,0,30668,237149,3683,982,328,684,0,652.6804717,14220,15884,76544,98423,0,138784,169603,31060,572.42785,116324,97,9.12,0.47,98.98,NA
2024-2025,July,04,ASSAM,0432,MAJULI,254462,241.692106730974,21,18,36.518519,1696,0,7701,243828,29537,5890,117557,24974,0,625.831549,11498,16902,28995,51641,4,34700,58995,9397,589.31303,116265,94,23.46,9.4,99.92,NA
2024-2025,July,04,ASSAM,0407,KAMRUP,1183240,253.441594026934,23,37,94.306146537,4205,0,26675,882093,66072,22015,96395,42527,0,2329.896706537,37808,49905,163985,323802,27,362377,657559,30880,2235.59056,461003,92,35.07,31.9,99.91,NA
2024-2025,July,04,ASSAM,0414,GOLAGHAT,1255576,247.830590487472,21,45,434.500278187001,9893,0,19522,567294,40704,14901,103820,34276,0,1840.428348187,26074,34280,135243,270836,38,221160,412575,29415,1405.92807,307343,92,21.42,25.44,99.93,NA
2024-2025,July,04,ASSAM,0416,SIVASAGAR,1039321,251.403406963684,17,73,145.140960031,2636,0,9712,448728,23447,8399,64472,13631,0,1273.258440031,24988,33767,82471,161012,7,125510,224001,12348,1128.11748,250770,81,34.79,24.74,99.9,NA
2024-2025,July,04,ASSAM,0418,TINSUKIA,1002104,263.344234334714,16,16,88.269733384,2588,0,10616,276152,4191,2904,30556,17021,0,815.500103384,17021,20471,112171,182121,0,220083,312816,13204,727.23037,166731,80,55.13,6.04,99.97,NA
2024-2025,July,04,ASSAM,0420,Dima Hasao,151667,249.886806645974,24,4,66.485170341,379,0,4303,54770,776,568,51149,41755,0,203.348174341,2206,2775,20443,45479,0,35749,75052,4682,136.863004,23974,80,45.55,7.34,101.43,NA
2024-2025,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,312100,243.916384724862,16,14,80.2526217,223,0,30828,234682,3683,982,328,684,0,652.6804717,14131,15765,76530,98400,0,138769,169586,31051,572.42785,115140,97,9.22,0.47,98.98,NA
2024-2025,July,04,ASSAM,0403,BONGAIGAON,314422,271.88908906225,19,10,191.786546561,6932,0,16831,193943,19530,10761,2651,2256,0,719.096402561,10192,13992,84385,177661,0,157456,317307,23763,527.309856,94183,94,29.37,4.28,99.86,NA
2024-2025,July,04,ASSAM,0408,DARRANG,620329,259.658583369323,24,50,271.331113306,4129,0,5047,1150801,28214,7758,3136,1119,0,3259.484687306,46199,69458,144241,281040,18,225304,400797,9176,2988.153574,573119,75,43.89,40.71,99.89,NA
2024-2025,July,04,ASSAM,0412,Morigaon,961742,262.194388462137,18,31,31.019261164,19174,0,20331,552754,70379,28522,79763,33456,0,1480.309231164,29310,40515,144544,262982,2,232832,386892,39505,1449.28997,287066,94,27.93,24.92,99.87,NA
2024-2025,July,04,ASSAM,0413,NAGAON,1324778,251.550260605092,19,148,237.707094269,9798,0,24684,1195487,73584,18466,34594,11970,0,3244.957758269,61188,82469,219150,359998,14,386306,570620,34482,3007.250664,624820,89,31.65,19.86,99.96,NA
2024-2025,July,04,ASSAM,0429,HOJAI,617838,250.923056278077,20,232,157.151889685,3111,0,20834,398681,57674,20363,20913,5474,0,1157.534439685,19915,25781,89533,155317,0,160191,254240,23945,1000.38255,211953,93,29.3,3.69,99.82,NA
2024-2025,July,04,ASSAM,0430,CHARAIDEO,411336,252.275571483921,18,21,124.848171331,656,0,2052,154860,1478,1230,3139,1936,0,515.522121331,8218,9951,42194,71748,32,84060,130067,2708,390.67395,88183,58,70.79,9.28,99.94,NA
2024-2025,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,312100,243.905521836048,16,14,80.2526217,943,0,30132,239558,3683,982,616,684,0,664.5478117,14331,15979,76575,98482,0,138786,169606,31075,584.29519,117288,97,9.04,0.46,99,NA
2024-2025,July,04,ASSAM,0404,GOALPARA,650362,245.639677648437,23,34,123.37922565,11980,0,15412,643521,13657,7488,107224,51561,0,1704.12213565,27407,38332,112532,240602,1,221710,411746,27392,1580.74291,326186,93,71.66,2.62,99.93,NA
2024-2025,July,04,ASSAM,0405,BARPETA,551792,251.155172352167,22,233,29.939577215,7665,0,12095,559552,30595,9363,6495,2602,0,1435.283367215,24917,34514,178849,327601,8,282255,481386,19760,1405.34379,268686,88,40.34,0.24,100,NA
2024-2025,July,04,ASSAM,0406,NALBARI,785013,252.186055549099,19,21,0,8346,0,19433,430250,16780,7111,13592,4312,0,1085.030504,22012,31009,114107,201370,6,178983,295162,27779,1085.030504,224780,89,32.45,16.63,100.07,NA
2024-2025,July,04,ASSAM,0414,GOLAGHAT,1255576,247.411485625643,21,45,427.678164687001,9891,0,19521,562773,40284,14901,102965,34279,0,1820.043204687,25992,34171,135304,270944,30,221227,412693,29412,1392.36504,304605,92,21.45,25.43,99.93,NA
2024-2025,July,04,ASSAM,0415,JORHAT,1069836,251.030675037488,17,32,24.59300427,1998,0,7874,482151,31709,8091,57756,10478,0,1234.93991427,27796,31086,86125,131222,16,169575,237131,9872,1210.34691,307228,78,55.38,12.92,99.99,NA
